type,run_name,world_size,parallelism,fsdp_sharding,fsdp_enabled,model_id,dataset_id,max_steps,seq_length,per_device_batch_size,grad_accum_steps,global_batch_size,tokens_per_step,warmup_steps_excluded,steady_state_steps,total_train_time_s,mean_step_time_s,median_step_time_s,mean_tokens_per_s,gpu_util_samples,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_allocated_gb,gpu_mem_reserved_gb,gpu_mem_peak_gb,speedup,efficiency_pct
summary,phase5-fsdp-1gpu,1,fsdp,full_shard auto_wrap,True,meta-llama/Llama-3.1-8B,tatsu-lab/alpaca,200,1024,4,32,128,131072,20,180,11481.65,57.2401,57.7241,2289.9,22920,98.78,100,16.241,20.667,19.994,1.0,100.0
summary,phase5-fsdp-2gpu,2,fsdp,full_shard auto_wrap,True,meta-llama/Llama-3.1-8B,tatsu-lab/alpaca,200,1024,4,16,128,131072,20,180,6120.44,30.4757,30.6553,4300.9,12214,98.67,100,8.131,15.133,13.37,1.878204288396873,93.9
summary,phase5-fsdp-4gpu,4,fsdp,full_shard auto_wrap,True,meta-llama/Llama-3.1-8B,tatsu-lab/alpaca,200,1024,4,8,128,131072,20,180,3087.4,15.3377,15.3304,8545.8,6158,98.53,100,4.073,11.01,9.311,3.731953360408751,93.3
summary,phase5-fsdp-8gpu,8,fsdp,full_shard auto_wrap,True,meta-llama/Llama-3.1-8B,tatsu-lab/alpaca,200,1024,4,4,128,131072,20,180,1572.09,7.7343,7.7023,16946.9,3128,97.68,100,2.047,8.949,7.284,7.400716188479847,92.5
